team_id,name,abbreviation,season,runs_scored_avg,runs_allowed_avg,hits_avg,home_runs,strikeouts,walks,obp,slg,ops,era,whip,k_per_nine,bb_per_nine,wins,losses,win_pct,streak,last_10,home_record,away_record,bullpen_era,recent_form,home_wins,home_losses,away_wins,away_losses,run_differential,games_played,last_updated
109,Arizona Diamondbacks,AZ,2026,4.461538461538462,4.615384615384615,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,8,5,0.6153846153846154,,8-5,2-2,6-3,0.0,,2,2,6,3,-2,13,2026-04-16 21:55
144,Atlanta Braves,ATL,2026,6.3076923076923075,3.8461538461538463,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,8,5,0.6153846153846154,,8-5,4-2,4-3,0.0,,4,2,4,3,32,13,2026-04-16 21:55
110,Baltimore Orioles,BAL,2026,4.076923076923077,4.230769230769231,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,6,7,0.46153846153846156,,6-7,3-3,3-4,0.0,,3,3,3,4,-2,13,2026-04-16 21:55
111,Boston Red Sox,BOS,2026,5.0,4.5,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,6,6,0.5,,6-6,3-3,3-3,0.0,,3,3,3,3,6,12,2026-04-16 21:55
112,Chicago Cubs,CHC,2026,5.333333333333333,4.25,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,6,6,0.5,,6-6,1-2,5-4,0.0,,1,2,5,4,13,12,2026-04-16 21:55
145,Chicago White Sox,CWS,2026,3.0,3.6923076923076925,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,5,8,0.38461538461538464,,5-8,3-6,2-2,0.0,,3,6,2,2,-9,13,2026-04-16 21:55
113,Cincinnati Reds,CIN,2026,3.6153846153846154,3.923076923076923,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,8,5,0.6153846153846154,,8-5,3-3,5-2,0.0,,3,3,5,2,-4,13,2026-04-16 21:55
114,Cleveland Guardians,CLE,2026,4.384615384615385,4.153846153846154,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,7,6,0.5384615384615384,,7-6,5-2,2-4,0.0,,5,2,2,4,3,13,2026-04-16 21:55
115,Colorado Rockies,COL,2026,3.923076923076923,4.769230769230769,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,5,8,0.38461538461538464,,5-8,4-2,1-6,0.0,,4,2,1,6,-11,13,2026-04-16 21:55
116,Detroit Tigers,DET,2026,4.083333333333333,3.4166666666666665,0.0,0.0,0.0,0.0,0.32,0.43,0.75,4.5,1.35,0.0,0.0,7,5,0.5833333333333334,,7-5,7-1,0-4,0.0,,7,1,0,4,8,12,2026-04-16 21:55
